الرقم	المجموعة	الطبقة	المؤلف	الوفاة أو السنة	العنوان	الطبعة (من سجلّ فهرسة)	مصدر بيانات الطبعة	الوظيفة في المشروع	المجلدات	حالة الاستعمال	حالة بيانات الطبعة	الأجزاء في الطبعة السابقة
مص-١٣٩	النحو والصرف	ب	فاضل صالح السامرائي		معاني النحو	دار الفكر للطباعة والنشر والتوزيع - الأردن، الأولى، ١٤٢٠ هـ - ٢٠٠٠ م، ٤ أجزاء	بطاقة المكتبة الشاملة 17801	المعنى في الاختيار النحوي	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٤٠	النحو والصرف	ب	إبراهيم مصطفى		إحياء النحو	تُحدَّد	—	نقد طريقة تعليم النحو	—	للبحث	تُحدَّد	الافتتاحية
مص-١٤١	النحو والصرف	أ	تمام حسان	١٤٣٢	اللغة العربية معناها ومبناها	عالم الكتب، الخامسة ١٤٢٧هـ-٢٠٠٦م	بطاقة المكتبة الشاملة 9970	النظام اللغوي وقرائن المعنى	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٤٢	النحو والصرف	ب	مهدي المخزومي	١٤١٣	في النحو العربي: نقد وتوجيه	تُحدَّد	—	نقد تعليم النحو	—	للبحث	تُحدَّد	الافتتاحية
مص-١٤٣	النحو والصرف	ب	إبراهيم أنيس	١٣٩٧	من أسرار اللغة	تُحدَّد	—	الظواهر اللغوية الحية	—	للبحث	تُحدَّد	الافتتاحية
مص-١٤٤	البلاغة	أ	الجاحظ	٢٥٥	البيان والتبيين	تُحدَّد	—	البيان والإفهام، وصحيفة بشر، والعيّ والحصر	المجلد الأول	مستعمَل	تُحدَّد	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٤٥	البلاغة	أ	عبد القاهر الجرجاني	٤٧١	دلائل الإعجاز	تحقيق محمود محمد شاكر أبو فهر، مكتبة الخانجي، القاهرة، رقم الإيداع ١١٨٨٩/٢٠٠٠	بطاقة المكتبة الشاملة 12055	النظم	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٤٦	البلاغة	أ	عبد القاهر الجرجاني	٤٧١	أسرار البلاغة	مطبعة المدني بالقاهرة، دار المدني بجدة	بطاقة المكتبة الشاملة 8187	التشبيه والاستعارة والتخييل	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٤٧	البلاغة	أ	أبو هلال العسكري	٣٩٥	كتاب الصناعتين: الكتابة والشعر	تحقيق علي محمد البجاوي ومحمد أبو الفضل إبراهيم، دار إحياء الكتب العربية (عيسى البابي الحلبي وشركاه)، القاهرة، الأولى، ١٣٧١هـ / ١٩٥٢م	بطاقة المكتبة الشاملة 23787	البيان صناعة	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٤٨	البلاغة	أ	ابن سنان الخفاجي	٤٦٦	سر الفصاحة	دار الكتب العلمية، الطبعة الأولى ١٤٠٢هـ_١٩٨٢م	بطاقة المكتبة الشاملة 11239	شروط الفصاحة في اللفظ والتأليف	—	مرشّح	تُطابق على صفحة العنوان	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٤٩	البلاغة	أ	ضياء الدين ابن الأثير	٦٣٧	المثل السائر في أدب الكاتب والشاعر	دار نهضة مصر للطباعة والنشر والتوزيع، الفجالة ـ القاهرة، ٤ أجزاء	بطاقة المكتبة الشاملة 10551	آلات صناعة الكلام	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٥٠	البلاغة	أ	السكاكي	٦٢٦	مفتاح العلوم	دار الكتب العلمية، بيروت - لبنان، الثانية، ١٤٠٧ هـ - ١٩٨٧ م	بطاقة المكتبة الشاملة 26581	تقعيد علوم البلاغة	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٥١	البلاغة	ب	الخطيب القزويني	٧٣٩	الإيضاح في علوم البلاغة	تحقيق محمد عبد المنعم خفاجي، المكتبة الأزهرية للتراث، القاهرة، الثالثة، ١٤١٣هـ / ١٩٩٣م	بطاقة المكتبة الشاملة 7380	حدّ البلاغة والفصاحة	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٥٢	البلاغة	أ	الخطيب القزويني	٧٣٩	تلخيص المفتاح	تُحدَّد	—	المتن المعتمد في البلاغة	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٥٣	البلاغة	أ	سعد الدين التفتازاني	٧٩٢	المطول شرح تلخيص المفتاح	تُحدَّد	—	المعاني والبيان	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٥٤	البلاغة	ب	سعد الدين التفتازاني	٧٩٢	مختصر المعاني	تُحدَّد	—	البلاغة التعليمية	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٥٥	البلاغة	أ	بهاء الدين السبكي	٧٧٣	عروس الأفراح في شرح تلخيص المفتاح	تحقيق الدكتور عبد الحميد هنداوي، المكتبة العصرية للطباعة والنشر، بيروت - لبنان، الأولى، ١٤٢٣ هـ - ٢٠٠٣ م، ٢ أجزاء	بطاقة المكتبة الشاملة 11151	مقتضى الحال	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٥٦	البلاغة	أ	ابن وهب الكاتب		البرهان في وجوه البيان	تحقيق د. حفني محمد شرف (أستاذ البلاغة، والنقد الأدبي المساعد - كلية دار العلوم، جامعة القاهرة)، مكتبة الشباب (القاهرة) - مطبعة الرسالة	بطاقة المكتبة الشاملة 20986	وجوه البيان الأربعة	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-١٥٧	البلاغة	أ	ابن المعتز	٢٩٦	البديع	دار الجيل، الطبعة الأولى ١٤١٠هـ - ١٩٩٠م	بطاقة المكتبة الشاملة 11661	أول كتابٍ في البديع	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٥٨	البلاغة	أ	يحيى بن حمزة العلوي		الطراز لأسرار البلاغة وعلوم حقائق الإعجاز	المكتبة العنصرية - بيروت، الأولى، ١٤٢٣ هـ، ٣ أجزاء	بطاقة المكتبة الشاملة 23788	البلاغة والإعجاز	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٥٩	البلاغة	أ	حازم القرطاجني	٦٨٤	منهاج البلغاء وسراج الأدباء	تُحدَّد	بطاقة المكتبة الشاملة 5388	التخييل والمحاكاة	—	للبحث	تُحدَّد	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٦٠	البلاغة	أ	ابن رشيق القيرواني		العمدة في محاسن الشعر وآدابه	تحقيق محمد محيي الدين عبد الحميد [ت ١٣٩٢ هـ]، دار الجيل، الخامسة، ١٤٠١ هـ - ١٩٨١ م، ٢ أجزاء	بطاقة المكتبة الشاملة 10909	صنعة الشعر والمقام	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٦١	البلاغة	ب	عبد المتعال الصعيدي		بغية الإيضاح لتلخيص المفتاح	مكتبة الآداب، السابعة عشر: ١٤٢٦ هـ-٢٠٠٥ م، ٤ أجزاء	بطاقة المكتبة الشاملة 10281	شرحٌ تعليمي للإيضاح	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٦٢	البلاغة	ب	علي الجارم ومصطفى أمين		البلاغة الواضحة	تُحدَّد	—	البلاغة التعليمية بالأمثلة	—	مرشّح	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٦٣	البلاغة	أ	محمد محمد أبو موسى		خصائص التراكيب	مكتبة وهبة، السابعة	بطاقة المكتبة الشاملة 3334	معاني التراكيب وأسرارها	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٦٤	البلاغة	أ	محمد محمد أبو موسى		دلالات التراكيب	تُحدَّد	—	التركيب ودلالته	—	مرشّح	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٦٥	البلاغة	ب	فضل حسن عباس	١٤٣٢	البلاغة فنونها وأفنانها	تُحدَّد	—	البلاغة الحديثة التعليمية	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٦٦	البلاغة	ب	عبد الرحمن حبنكة الميداني	١٤٢٥	البلاغة العربية: أسسها وعلومها وفنونها	تُحدَّد	—	البلاغة التعليمية	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٦٧	البلاغة	أ	أحمد مطلوب		معجم المصطلحات البلاغية وتطورها	تُحدَّد	—	ضبط المصطلح البلاغي	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٦٨	البلاغة	ب	أحمد الشايب	١٣٩٦	الأسلوب	مكتبة النهضة المصرية، الثانية عشرة ٢٠٠٣	بطاقة المكتبة الشاملة 7357	الأسلوب وعناصره	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٦٩	البلاغة	ب	شوقي ضيف	١٤٢٦	البلاغة تطور وتاريخ	تُحدَّد	—	تاريخ علوم البلاغة	—	للبحث	تُحدَّد	الافتتاحية
مص-١٧٠	البلاغة	أ	محمود محمد شاكر	١٤١٨	مداخل إعجاز القرآن	تُحدَّد	—	النظم والإعجاز	—	للبحث	تُحدَّد	الافتتاحية
مص-١٧١	الأدب والنقد والتراجم	أ	المبرد	٢٨٥	الكامل في اللغة والأدب	تحقيق محمد أبو الفضل إبراهيم [ت ١٤٠١ هـ]، دار الفكر العربي - القاهرة، الطبعة الثالثة ١٤١٧ هـ - ١٩٩٧ م، ٤ أجزاء	بطاقة المكتبة الشاملة 8505	نماذج البيان وشرحها	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٧٢	الأدب والنقد والتراجم	أ	ابن قتيبة	٢٧٦	عيون الأخبار	دار الكتب العلمية -بيروت، ٤ أجزاء	بطاقة المكتبة الشاملة 23790	أخبار البيان والخطابة	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٧٣	الأدب والنقد والتراجم	أ	ابن عبد ربه	٣٢٨	العقد الفريد	دار الكتب العلمية - بيروت، الأولى، ١٤٠٤ هـ، ٨ أجزاء	بطاقة المكتبة الشاملة 23789	الخطب والتوقيعات والمكاتبات	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٧٤	الأدب والنقد والتراجم	أ	أبو الفرج الأصفهاني	٣٥٦	الأغاني	تُحدَّد	—	أخبار الشعر والرواية	—	للبحث	تُحدَّد	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٧٥	الأدب والنقد والتراجم	أ	أبو إسحاق الحصري	٤١٣	زهر الآداب وثمر الألباب	دار الجيل، بيروت، ٤ أجزاء	بطاقة المكتبة الشاملة 10768	مختارات البيان	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٧٦	الأدب والنقد والتراجم	أ	أبو علي القالي	٣٥٦	الأمالي	تُحدَّد	—	اللغة والأخبار	—	للبحث	تُحدَّد	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٧٧	الأدب والنقد والتراجم	أ	ابن الشجري	٥٤٢	الأمالي	تُحدَّد	—	مسائل النحو والشعر	—	للبحث	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-١٧٨	الأدب والنقد والتراجم	ب	أبو زيد القرشي		جمهرة أشعار العرب	نهضة مصر للطباعة والنشر والتوزيع	بطاقة المكتبة الشاملة 1487	رواية المعلّقات	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-١٧٩	الأدب والنقد والتراجم	أ	أبو بكر ابن الأنباري	٣٢٨	شرح القصائد السبع الطوال الجاهليات	دار المعارف [سلسلة ذخائر العرب (٣٥)]، الخامسة	بطاقة المكتبة الشاملة 124335	رواية المعلّقات وشرحها	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-١٨٠	الأدب والنقد والتراجم	ج	الزوزني	٤٨٦	شرح المعلقات السبع	دار احياء التراث العربي، الأولى ١٤٢٣هـ - ٢٠٠٢ م	بطاقة المكتبة الشاملة 11253	شرح المعلّقات؛ يُستبدل بطبعةٍ محقّقة	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-١٨١	الأدب والنقد والتراجم	أ	الخطيب التبريزي	٥٠٢	شرح القصائد العشر	تُحدَّد	—	رواية المعلّقات وشرحها	—	مرشّح	تُحدَّد	الافتتاحية
مص-١٨٢	الأدب والنقد والتراجم	أ	المفضل الضبي		المفضليات	دار المعارف - القاهرة، السادسة	بطاقة المكتبة الشاملة 6904	الشعر القديم المختار	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٨٣	الأدب والنقد والتراجم	أ	الأصمعي	٢١٦	الأصمعيات	تحقيق احمد محمد شاكر - عبد السلام محمد هارون، دار المعارف - مصر، السابعة، ١٩٩٣م	بطاقة المكتبة الشاملة 6905	الشعر القديم المختار	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٨٤	الأدب والنقد والتراجم	أ	المرزوقي	٤٢١	شرح ديوان الحماسة	تحقيق غريد الشيخ، دار الكتب العلمية، بيروت - لبنان، الأولى، ١٤٢٤ هـ - ٢٠٠٣ م	بطاقة المكتبة الشاملة 26536	عمود الشعر، والمختارات	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٨٥	الأدب والنقد والتراجم	أ	ابن قتيبة	٢٧٦	الشعر والشعراء	دار الحديث، القاهرة، ٢ أجزاء	بطاقة المكتبة الشاملة 23785	طبقات الشعراء وأخبارهم	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٨٦	الأدب والنقد والتراجم	أ	ابن سلام الجمحي	٢٣٢	طبقات فحول الشعراء	تحقيق محمود محمد شاكر، دار المدني - جدة، ٢ أجزاء	بطاقة المكتبة الشاملة 6738	نقد الرواية والنحل	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية
مص-١٨٧	الأدب والنقد والتراجم	أ	قدامة بن جعفر	٣٣٧	نقد الشعر	مطبعة الجوائب - قسطنطينية، الأولى، ١٣٠٢	بطاقة المكتبة الشاملة 28181	أصول النقد	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٨٨	الأدب والنقد والتراجم	أ	ابن طباطبا	٣٢٢	عيار الشعر	تحقيق عبد العزيز بن ناصر المانع، مكتبة الخانجي - القاهرة	بطاقة المكتبة الشاملة 6911	صنعة الشعر	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٨٩	الأدب والنقد والتراجم	أ	الآمدي	٣٧٠	الموازنة بين شعر أبي تمام والبحتري	دار المعارف - الطبعة الرابعة [سلسلة ذخائر العرب (٢٥)]، ٣ أجزاء	بطاقة المكتبة الشاملة 26183	الموازنة والذوق	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٩٠	الأدب والنقد والتراجم	أ	القاضي الجرجاني	٣٩٢	الوساطة بين المتنبي وخصومه	تُحدَّد	—	النقد والإنصاف	—	للبحث	تُحدَّد	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٩١	الأدب والنقد والتراجم	أ	ابن عبد البر	٤٦٣	أدب المجالسة وحمد اللسان	تحقيق سمير حلبي، دار الصحابة للتراث - طنطا، الأولى، ١٤٠٩ - ١٩٨٩	بطاقة المكتبة الشاملة 6780	حمد اللسان وفضل البيان	المجلد الأول	مستعمَل	تُطابق على صفحة العنوان	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٩٢	الأدب والنقد والتراجم	أ	ابن عبد البر	٤٦٣	بهجة المجالس وأنس المجالس	تُحدَّد	بطاقة المكتبة الشاملة 558	أدب المجالس	—	مرشّح	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-١٩٣	الأدب والنقد والتراجم	ب	أحمد زكي صفوت		جمهرة خطب العرب في عصور العربية الزاهرة	المكتبة العلمية بيروت-لبنان، ٣ أجزاء	بطاقة المكتبة الشاملة 12005	نصوص الخطابة	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٩٤	الأدب والنقد والتراجم	ب	أحمد زكي صفوت		جمهرة رسائل العرب	المكتبة العلمية، بيروت - لبنان، ٤ أجزاء	بطاقة المكتبة الشاملة 13658	نصوص المكاتبات	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٩٥	الأدب والنقد والتراجم	أ	الميداني	٥١٨	مجمع الأمثال	تحقيق محمد محيى الدين عبد الحميد [ت ١٣٩٢ هـ]، دار المعرفة - بيروت، لبنان، ٢ أجزاء	بطاقة المكتبة الشاملة 12929	الأمثال ومضاربها	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٩٦	الأدب والنقد والتراجم	أ	أبو هلال العسكري	٣٩٥	جمهرة الأمثال	دار الفكر - بيروت، ٢ أجزاء	بطاقة المكتبة الشاملة 6897	الأمثال ومضاربها	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٩٧	الأدب والنقد والتراجم	أ	أبو عبيد القاسم بن سلام	٢٢٤	الأمثال	تُحدَّد	—	الأمثال ومضاربها	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٩٨	الأدب والنقد والتراجم	أ	الجاحظ	٢٥٥	البخلاء	دار ومكتبة الهلال، بيروت، الثانية، ١٤١٩ هـ	بطاقة المكتبة الشاملة 10501	نماذج النثر والحوار	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-١٩٩	الأدب والنقد والتراجم	أ	الجاحظ	٢٥٥	رسائل الجاحظ	تُحدَّد	—	نماذج النثر	—	للبحث	تُحدَّد	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-٢٠٠	الأدب والنقد والتراجم	أ	الجاحظ	٢٥٥	الحيوان	دار الكتب العلمية - بيروت، الثانية، ١٤٢٤ هـ، ٧ أجزاء	بطاقة المكتبة الشاملة 23775	الاستطراد والبيان	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-٢٠١	الأدب والنقد والتراجم	أ	أبو حيان التوحيدي		الإمتاع والمؤانسة	المكتبة العصرية، بيروت، الأولى ١٤٢٤ هـ - ٢٠٠٥ م [وأعادتْ نشرها مرارا بنفس ترقيم الصفحات]	بطاقة المكتبة الشاملة 10521	المحاورة والمناظرة	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-٢٠٢	الأدب والنقد والتراجم	أ	أبو حيان التوحيدي		المقابسات	تحقيق حسن السندوبي [ت ١٣٨٤ هـ]، دار سعاد الصباح، الثانية، ١٩٩٢ م	بطاقة المكتبة الشاملة 10916	المناظرة	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-٢٠٣	الأدب والنقد والتراجم	أ	ابن خلكان	٦٨١	وفيات الأعيان	تحقيق إحسان عباس، دار صادر - بيروت، الجزء: ١ - الطبعة: ٠، ١٩٠٠، ٧ أجزاء	بطاقة المكتبة الشاملة 1000	تراجم الأعلام	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٠٤	الأدب والنقد والتراجم	أ	الذهبي	٧٤٨	سير أعلام النبلاء	مؤسسة الرسالة، الثانية، ١٤٠٢ هـ - ١٩٨٢ م، ٢٥ (٢٣ والفهارس) أجزاء	بطاقة المكتبة الشاملة 10906	تراجم الأعلام	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٠٥	الأدب والنقد والتراجم	أ	السيوطي	٩١١	بغية الوعاة في طبقات اللغويين والنحاة	تحقيق محمد أبو الفضل إبراهيم [ت ١٤٠١ هـ]، المكتبة العصرية - لبنان / صيدا، ٢ أجزاء	بطاقة المكتبة الشاملة 6744	تراجم النحاة واللغويين	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٠٦	الأدب والنقد والتراجم	أ	القفطي	٦٤٦	إنباه الرواة على أنباه النحاة	تحقيق محمد أبو الفضل إبراهيم [ت ١٤٠١ هـ]، دار الفكر العربي - القاهرة، ومؤسسة الكتب الثقافية - بيروت، الأولى، ١٤٠٦ هـ - ١٩٨٢ م.، ٤ أجزاء	بطاقة المكتبة الشاملة 10525	تراجم النحاة	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية
مص-٢٠٧	الأدب والنقد والتراجم	أ	ياقوت الحموي	٦٢٦	معجم الأدباء	تحقيق إحسان عباس، دار الغرب الإسلامي، بيروت، الأولى، ١٤١٤ هـ - ١٩٩٣ م، ٧ أجزاء	بطاقة المكتبة الشاملة 9788	تراجم الأدباء	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية
مص-٢٠٨	الأدب والنقد والتراجم	أ	أبو البركات الأنباري	٥٧٧	نزهة الألباء في طبقات الأدباء	تحقيق إبراهيم السامرائي، مكتبة المنار، الزرقاء - الأردن، الثالثة، ١٤٠٥ هـ - ١٩٨٥ م	بطاقة المكتبة الشاملة 3583	تراجم النحاة	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٢٠٩	الأدب والنقد والتراجم	أ	أبو بكر الزبيدي	٣٧٩	طبقات النحويين واللغويين	تحقيق محمد أبو الفضل إبراهيم [ت ١٤٠١ هـ]، دار المعارف، الثانية	بطاقة المكتبة الشاملة 13235	تراجم النحاة	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٢١٠	الأدب والنقد والتراجم	ب	خير الدين الزركلي	١٣٩٦	الأعلام	دار العلم للملايين، الخامسة عشر - أيار / مايو ٢٠٠٢ م	بطاقة المكتبة الشاملة 12286	تعريفٌ موجز بالأعلام	المجلد الأول	مستعمَل	تُطابق على صفحة العنوان	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢١١	الأدب والنقد والتراجم	ب	شوقي ضيف	١٤٢٦	تاريخ الأدب العربي	دار المعارف - مصر، الأولى، ١٩٦٠ - ١٩٩٥ م، ١٠ أجزاء	بطاقة المكتبة الشاملة 11996	تاريخ الأدب	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٢١٢	أصول الفقه ودلالات الخطاب	أ	الشافعي	٢٠٤	الرسالة	مصطفى البابي الحلبي وأولاده - مصر، الأولى، ١٣٥٨ هـ - ١٩٤٠ م	بطاقة المكتبة الشاملة 8180	البيان وسعة لسان العرب وفهم الخطاب	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢١٣	أصول الفقه ودلالات الخطاب	أ	الشافعي	٢٠٤	الأم	تُحدَّد	—	فقه الشافعي وبيانه	—	للبحث	تُحدَّد	الافتتاحية
مص-٢١٤	أصول الفقه ودلالات الخطاب	أ	الغزالي	٥٠٥	المستصفى	دار الكتب العلمية، الأولى، ١٤١٣ هـ - ١٩٩٣ م	بطاقة المكتبة الشاملة 5459	دلالات الألفاظ	المجلد الأول	مستعمَل	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢١٥	أصول الفقه ودلالات الخطاب	أ	الشاطبي	٧٩٠	الموافقات	تحقيق أبو عبيدة مشهور بن حسن آل سلمان، دار ابن عفان، الأولى، ١٤١٧ هـ - ١٩٩٧ م، ٧ أجزاء	بطاقة المكتبة الشاملة 11435	مقاصد الخطاب ومعهود العرب في كلامها	المجلد الأول	مستعمَل	تُطابق على صفحة العنوان	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢١٦	أصول الفقه ودلالات الخطاب	أ	سيف الدين الآمدي	٦٣١	الإحكام في أصول الأحكام	مؤسسة النور بالرياض، سنة ١٣٨٧ هـ، ٤ أجزاء	بطاقة المكتبة الشاملة 10801	الدلالات	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢١٧	أصول الفقه ودلالات الخطاب	أ	ابن قدامة	٦٢٠	روضة الناظر وجنة المناظر	مؤسسة الريّان للطباعة والنشر والتوزيع، الطبعة الثانية ١٤٢٣ هـ-٢٠٠٢ م، ٢ أجزاء	بطاقة المكتبة الشاملة 12010	أصول الفقه	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢١٨	أصول الفقه ودلالات الخطاب	أ	الطوفي	٧١٦	شرح مختصر الروضة	تحقيق عبد الله بن عبد المحسن التركي، مؤسسة الرسالة، الأولى ، ١٤٠٧ هـ / ١٩٨٧ م، ٣ أجزاء	بطاقة المكتبة الشاملة 10781	حقيقة الكلام، وبيت الأخطل	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-٢١٩	أصول الفقه ودلالات الخطاب	أ	ابن النجار	٩٧٢	شرح الكوكب المنير	تحقيق محمد الزحيلي - نزيه حماد، مكتبة العبيكان، الطبعة الثانية ١٤١٨ هـ - ١٩٩٧ مـ، ٤ أجزاء	بطاقة المكتبة الشاملة 12019	حقيقة الكلام، وبيت الأخطل	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-٢٢٠	أصول الفقه ودلالات الخطاب	أ	ابن القيم	٧٥١	إعلام الموقعين عن رب العالمين	تُحدَّد	—	فهم مراد المتكلّم	—	مرشّح	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
